,subjects,usn,names,internal1,internal2,internal3,component,total,external,final
62,UNIX,1MS15MCA11,Joshua,13,7,11,18,30,37,67
63,PYTHON,1MS15MCA11,Joshua,30,0,8,16,35,37,72
64,DM,1MS15MCA11,Joshua,13,15,2,14,28,18,46
65,J2EE,1MS15MCA11,Joshua,9,15,21,20,38,24,62
66,CN,1MS15MCA12,Jay,11,8,0,18,27,18,45
67,OOMD,1MS15MCA12,Jay,4,21,26,13,36,14,50
68,UNIX,1MS15MCA12,Jay,7,19,14,18,34,42,76
69,PYTHON,1MS15MCA12,Jay,17,26,4,14,35,43,78
70,DM,1MS15MCA12,Jay,2,16,19,9,26,36,62
71,J2EE,1MS15MCA12,Jay,25,11,20,18,40,45,85
72,CN,1MS15MCA13,Charles,19,4,30,12,36,32,68
73,OOMD,1MS15MCA13,Charles,15,28,12,7,28,16,44
74,UNIX,1MS15MCA13,Charles,3,30,14,10,32,45,77
75,PYTHON,1MS15MCA13,Charles,15,21,18,9,28,12,40
76,DM,1MS15MCA13,Charles,29,30,4,15,44,50,94
77,J2EE,1MS15MCA13,Charles,27,6,26,11,37,14,51
78,CN,1MS15MCA14,Angela,17,6,17,13,30,49,79
79,OOMD,1MS15MCA14,Angela,26,25,8,8,33,33,66
80,UNIX,1MS15MCA14,Angela,16,8,5,13,25,31,56
81,PYTHON,1MS15MCA14,Angela,11,1,9,19,29,9,38
82,DM,1MS15MCA14,Angela,9,3,18,18,31,18,49
83,J2EE,1MS15MCA14,Angela,30,8,26,14,42,42,84
84,CN,1MS15MCA15,Raymond,7,14,30,20,42,33,75
85,OOMD,1MS15MCA15,Raymond,0,5,16,7,17,36,53
86,UNIX,1MS15MCA15,Raymond,13,27,2,15,35,5,40
87,PYTHON,1MS15MCA15,Raymond,19,12,16,13,30,39,69
88,DM,1MS15MCA15,Raymond,3,7,14,9,19,44,63
89,J2EE,1MS15MCA15,Raymond,11,16,25,8,28,44,72
90,CN,1MS15MCA16,Brenda,0,23,11,18,35,12,47
91,OOMD,1MS15MCA16,Brenda,23,11,20,9,30,47,77
92,UNIX,1MS15MCA16,Brenda,23,27,1,16,41,39,80
93,PYTHON,1MS15MCA16,Brenda,10,23,22,20,42,48,90
94,DM,1MS15MCA16,Brenda,17,29,16,13,36,19,55
95,J2EE,1MS15MCA16,Brenda,8,26,8,14,31,17,48
96,CN,1MS15MCA17,Bradley,10,15,12,18,31,50,81
97,OOMD,1MS15MCA17,Bradley,16,17,13,14,30,44,74
98,UNIX,1MS15MCA17,Bradley,9,21,15,20,38,15,53
99,PYTHON,1MS15MCA17,Bradley,3,14,22,13,31,39,70
100,DM,1MS15MCA17,Bradley,24,5,27,18,43,46,89
101,J2EE,1MS15MCA17,Bradley,9,10,18,14,28,26,54
102,CN,1MS15MCA18,Melanie,5,24,8,10,26,29,55
103,OOMD,1MS15MCA18,Melanie,7,20,20,13,33,33,66
104,UNIX,1MS15MCA18,Melanie,15,29,24,13,39,50,89
105,PYTHON,1MS15MCA18,Melanie,16,22,28,10,35,34,69
106,DM,1MS15MCA18,Melanie,2,3,15,11,20,6,26
107,J2EE,1MS15MCA18,Melanie,25,29,20,19,46,17,63
108,CN,1MS15MCA19,Todd,30,28,29,18,47,29,76
109,OOMD,1MS15MCA19,Todd,19,15,21,14,34,28,62
110,UNIX,1MS15MCA19,Todd,24,6,19,11,32,29,61
111,PYTHON,1MS15MCA19,Todd,26,4,1,17,32,19,51
112,DM,1MS15MCA19,Todd,16,10,29,12,34,9,43
113,J2EE,1MS15MCA19,Todd,8,10,15,18,30,19,49
114,CN,1MS15MCA20,Jesse,12,25,20,11,33,23,56
115,OOMD,1MS15MCA20,Jesse,25,25,27,18,44,12,56
116,UNIX,1MS15MCA20,Jesse,27,5,20,15,38,16,54
117,PYTHON,1MS15MCA20,Jesse,9,23,22,14,36,29,65
118,DM,1MS15MCA20,Jesse,3,15,9,12,24,36,60
119,J2EE,1MS15MCA20,Jesse,2,3,6,17,21,25,46
120,CN,1MS15MCA21,Jill,27,8,12,9,28,17,45
121,OOMD,1MS15MCA21,Jill,15,28,21,17,41,47,88
122,UNIX,1MS15MCA21,Jill,22,29,10,19,44,31,75
123,PYTHON,1MS15MCA21,Jill,23,18,6,12,32,33,65
124,DM,1MS15MCA21,Jill,1,20,28,12,36,22,58
125,J2EE,1MS15MCA21,Jill,4,18,17,11,28,36,64
126,CN,1MS15MCA22,Jose,4,22,7,14,28,31,59
127,OOMD,1MS15MCA22,Jose,5,30,12,19,40,12,52
128,UNIX,1MS15MCA22,Jose,30,8,6,14,33,4,37
129,PYTHON,1MS15MCA22,Jose,17,6,8,18,30,26,56
130,DM,1MS15MCA22,Jose,30,24,27,15,43,40,83
131,J2EE,1MS15MCA22,Jose,0,19,11,16,31,9,40
132,CN,1MS15MCA23,Michael,17,8,30,9,32,31,63
133,OOMD,1MS15MCA23,Michael,2,16,29,13,35,27,62
134,UNIX,1MS15MCA23,Michael,0,0,17,18,26,16,42
135,PYTHON,1MS15MCA23,Michael,7,28,10,18,37,18,55
136,DM,1MS15MCA23,Michael,17,30,28,11,40,40,80
137,J2EE,1MS15MCA23,Michael,27,2,8,20,37,45,82
138,CN,1MS15MCA24,Jennifer,26,28,20,11,38,28,66
139,OOMD,1MS15MCA24,Jennifer,28,27,13,16,43,34,77
140,UNIX,1MS15MCA24,Jennifer,14,19,18,18,36,8,44
141,PYTHON,1MS15MCA24,Jennifer,13,8,27,10,30,48,78
142,DM,1MS15MCA24,Jennifer,12,26,1,16,35,9,44
143,J2EE,1MS15MCA24,Jennifer,6,26,8,8,25,26,51
144,CN,1MS15MCA25,Andrew,26,10,20,10,33,16,49
145,OOMD,1MS15MCA25,Andrew,8,4,15,19,30,27,57
146,UNIX,1MS15MCA25,Andrew,13,17,19,15,33,43,76
147,PYTHON,1MS15MCA25,Andrew,27,20,27,15,42,33,75
148,DM,1MS15MCA25,Andrew,24,1,1,20,32,8,40
149,J2EE,1MS15MCA25,Andrew,28,10,12,17,37,43,80
150,CN,1MS15MCA26,Brittany,25,20,1,15,37,46,83
151,OOMD,1MS15MCA26,Brittany,23,14,30,9,35,42,77
152,UNIX,1MS15MCA26,Brittany,21,10,20,20,40,11,51
153,PYTHON,1MS15MCA26,Brittany,21,16,1,11,29,16,45
154,DM,1MS15MCA26,Brittany,23,11,27,8,33,19,52
155,J2EE,1MS15MCA26,Brittany,17,30,0,13,36,24,60
156,CN,1MS15MCA27,Ryan,16,17,29,12,35,30,65
157,OOMD,1MS15MCA27,Ryan,12,28,9,18,38,42,80
158,UNIX,1MS15MCA27,Ryan,20,29,20,10,34,16,50
159,PYTHON,1MS15MCA27,Ryan,24,16,15,10,30,47,77
160,DM,1MS15MCA27,Ryan,3,19,10,17,31,16,47
161,J2EE,1MS15MCA27,Ryan,15,6,29,19,41,39,80
162,CN,1MS15MCA28,Steven,18,20,27,20,43,21,64
163,OOMD,1MS15MCA28,Steven,14,5,28,19,40,27,67
164,UNIX,1MS15MCA28,Steven,21,0,11,19,35,44,79
165,PYTHON,1MS15MCA28,Steven,28,6,27,15,42,35,77
166,DM,1MS15MCA28,Steven,1,4,17,15,25,25,50
167,J2EE,1MS15MCA28,Steven,4,19,8,15,28,5,33
168,CN,1MS15MCA29,Dustin,11,11,18,18,32,45,77
169,OOMD,1MS15MCA29,Dustin,3,27,9,19,37,43,80
170,UNIX,1MS15MCA29,Dustin,29,1,30,15,44,22,66
171,PYTHON,1MS15MCA29,Dustin,30,5,10,18,38,11,49
172,DM,1MS15MCA29,Dustin,2,9,15,14,26,12,38
173,J2EE,1MS15MCA29,Dustin,17,29,22,8,33,18,51
174,CN,1MS15MCA30,Ricky,1,13,5,13,22,49,71
175,OOMD,1MS15MCA30,Ricky,27,30,20,20,48,19,67
176,UNIX,1MS15MCA30,Ricky,9,19,0,14,28,28,56
177,PYTHON,1MS15MCA30,Ricky,22,24,8,20,43,50,93
178,DM,1MS15MCA30,Ricky,10,23,20,15,36,39,75
179,J2EE,1MS15MCA30,Ricky,22,19,9,13,33,4,37
